# start_int,end_int,country,asn
16777216,33554431,CN,AS4134
50331648,67108863,US,AS16509
67108864,83886079,US,AS3356
83886080,100663295,RU,AS12389
134744064,134744319,US,AS15169
167772160,184549375,private,
201326592,218103807,US,AS7018
218103808,234881023,US,AS16509
251658240,268435455,US,AS714
285212672,301989887,US,AS714
301989888,318767103,US,AS16509
385875968,402653183,US,AS16625
452984832,469762047,CN,AS4134
570425344,587202559,US,AS15169
587202560,603979775,US,AS15169
603979776,620756991,CN,AS4134
620756992,637534207,UA,AS12593
704643072,721420287,CN,AS4134
721420288,738197503,CN,AS4134
738197504,754974719,US,AS7018
764280832,764411903,XX,AS209854
771751936,788529151,RU,AS12389
779485184,779550719,UA,AS28907
872415232,889192447,US,AS16509
905969664,922746879,US,AS16509
973078528,989855743,CN,AS4837
989855744,1006632959,CN,AS4837
1006632960,1023410175,CN,AS4837
1023410176,1040187391,CN,AS4134
1291845632,1308622847,RU,AS8359
1308622848,1325400063,DE,AS3320
1325400064,1342177279,DE,AS3320
1342177280,1358954495,DE,AS3320
1358954496,1375731711,RU,AS12389
1375731712,1392508927,RU,AS8359
1392508928,1409286143,RU,AS12389
1409286144,1426063359,NL,AS9009
1426063360,1442840575,DE,AS3320
1459617792,1476395007,DE,AS3320
1476395008,1493172223,DE,AS3320
1493172224,1509949439,NL,AS9009
1526726656,1543503871,NL,AS60068
1694498816,1711276031,CN,AS4134
1728053248,1744830463,XX,AS20473
1845493760,1862270975,CN,AS4837
1862270976,1879048191,CN,AS4837
1879048192,1895825407,CN,AS4134
1895825408,1912602623,CN,AS4134
1912602624,1929379839,CN,AS4134
1929379840,1946157055,CN,AS4134
1946157056,1962934271,CN,AS4134
1962934272,1979711487,CN,AS4134
1979711488,1996488703,CN,AS4134
1996488704,2013265919,CN,AS4134
2013265920,2030043135,CN,AS4837
2030043136,2046820351,CN,AS4134
2046820352,2063597567,CN,AS4134
2063597568,2080374783,CN,AS4837
2080374784,2097151999,CN,AS4134
2097152000,2113929215,CN,AS4837
2130706432,2147483647,loopback,
2734686208,2751463423,CN,AS4134
2886729728,2887778303,private,
2952790016,2969567231,RU,AS8359
2955149312,2955411455,UA,AS21219
2986344448,3003121663,RU,AS12389
3019898880,3036676095,CN,AS4134
3053453312,3070230527,CN,AS4134
3070230528,3087007743,CN,AS4134
3103784960,3120562175,NL,AS60068
3230728192,3230793727,XX,AS51167
3232235520,3232301055,private,
3254779904,3271557119,RU,AS12389
3325427712,3325558783,XX,AS20473
3338665984,3355443199,US,AS7922
3523215360,3539992575,CN,AS4134
3556769792,3573547007,DE,AS3320
3573547008,3590324223,DE,AS3320
3657433088,3674210303,CN,AS4134
3674210304,3690987519,CN,AS4134
3690987520,3707764735,CN,AS4134
3707764736,3724541951,CN,AS4134
3724541952,3741319167,CN,AS4134
3741319168,3758096383,CN,AS4134
