txid,observed_at,inputs,outputs,fee_sats,vsize,size_bytes,weight,version,locktime,confirmed,confirmations,block_height,block_time
8b902740d1c30e20dfc220e3f679c730d2e16499e92906d5642c61cf540cf30a,2026-08-31T00:00:00+00:00,[],"[{""index"": 0, ""value_sats"": 24999999750, ""address"": ""synthetic-address-0-0"", ""script_type"": ""p2wpkh""}, {""index"": 1, ""value_sats"": 24999999750, ""address"": ""synthetic-address-0-1"", ""script_type"": ""p2wpkh""}]",500,202,262,808,2,0,True,3,900000,2026-08-31T00:10:00+00:00
f89dd4dafb5aadf901e99f4ef46eca4afec8ab78dbda1060cb10f0efcfccc936,2026-08-31T00:08:00+00:00,"[{""prev_txid"": ""8b902740d1c30e20dfc220e3f679c730d2e16499e92906d5642c61cf540cf30a"", ""prev_vout"": 0}]","[{""index"": 0, ""value_sats"": 12499999625, ""address"": ""synthetic-address-1-0"", ""script_type"": ""p2wpkh""}, {""index"": 1, ""value_sats"": 12499999625, ""address"": ""synthetic-address-1-1"", ""script_type"": ""p2wpkh""}]",500,202,262,808,2,0,True,3,900000,2026-08-31T00:18:00+00:00
7f6412cf57fce7768693c7724e84151167a5374c3ed133b4b00bdca387d356b5,2026-08-31T00:16:00+00:00,"[{""prev_txid"": ""8b902740d1c30e20dfc220e3f679c730d2e16499e92906d5642c61cf540cf30a"", ""prev_vout"": 1}]","[{""index"": 0, ""value_sats"": 12499999625, ""address"": ""synthetic-address-2-0"", ""script_type"": ""p2wpkh""}, {""index"": 1, ""value_sats"": 12499999625, ""address"": ""synthetic-address-2-1"", ""script_type"": ""p2wpkh""}]",500,202,262,808,2,0,True,3,900000,2026-08-31T00:26:00+00:00
08a2e6ace9a3f1094057c164b4b5b45d5e529f51f03a6cb610a91bfb811c5ae2,2026-08-31T00:24:00+00:00,"[{""prev_txid"": ""f89dd4dafb5aadf901e99f4ef46eca4afec8ab78dbda1060cb10f0efcfccc936"", ""prev_vout"": 0}]","[{""index"": 0, ""value_sats"": 6249999563, ""address"": ""synthetic-address-3-0"", ""script_type"": ""p2wpkh""}, {""index"": 1, ""value_sats"": 6249999562, ""address"": ""synthetic-address-3-1"", ""script_type"": ""p2wpkh""}]",500,202,262,808,2,0,True,3,900000,2026-08-31T00:34:00+00:00
b9819d41f22ccff899b98afe8dcfc73f7cb13ac29524ad34f6777f3d85b409dc,2026-08-31T00:32:00+00:00,"[{""prev_txid"": ""f89dd4dafb5aadf901e99f4ef46eca4afec8ab78dbda1060cb10f0efcfccc936"", ""prev_vout"": 1}]","[{""index"": 0, ""value_sats"": 6249999563, ""address"": ""synthetic-address-4-0"", ""script_type"": ""p2wpkh""}, {""index"": 1, ""value_sats"": 6249999562, ""address"": ""synthetic-address-4-1"", ""script_type"": ""p2wpkh""}]",500,202,262,808,2,0,True,3,900000,2026-08-31T00:42:00+00:00
87fefb0056b0fd6c4c1a1f5e03d8cea13df867b9d9dca5d458dbc3b2074cf2a2,2026-08-31T00:40:00+00:00,"[{""prev_txid"": ""7f6412cf57fce7768693c7724e84151167a5374c3ed133b4b00bdca387d356b5"", ""prev_vout"": 0}]","[{""index"": 0, ""value_sats"": 6249999563, ""address"": ""synthetic-address-5-0"", ""script_type"": ""p2wpkh""}, {""index"": 1, ""value_sats"": 6249999562, ""address"": ""synthetic-address-5-1"", ""script_type"": ""p2wpkh""}]",500,202,262,808,2,0,True,3,900000,2026-08-31T00:50:00+00:00
7d645d312e7db7819b4d23ef070b5949219a275122543bf1e0693937a291d2bb,2026-08-31T00:48:00+00:00,"[{""prev_txid"": ""7f6412cf57fce7768693c7724e84151167a5374c3ed133b4b00bdca387d356b5"", ""prev_vout"": 1}]","[{""index"": 0, ""value_sats"": 6249999563, ""address"": ""synthetic-address-6-0"", ""script_type"": ""p2wpkh""}, {""index"": 1, ""value_sats"": 6249999562, ""address"": ""synthetic-address-6-1"", ""script_type"": ""p2wpkh""}]",500,202,262,808,2,0,True,3,900000,2026-08-31T00:58:00+00:00
94242413c7b886d184856d2b2d0ef4b428efb24c068fdd769d8e9020f36a3ceb,2026-08-31T00:56:00+00:00,"[{""prev_txid"": ""08a2e6ace9a3f1094057c164b4b5b45d5e529f51f03a6cb610a91bfb811c5ae2"", ""prev_vout"": 0}]","[{""index"": 0, ""value_sats"": 3124999532, ""address"": ""synthetic-address-7-0"", ""script_type"": ""p2wpkh""}, {""index"": 1, ""value_sats"": 3124999531, ""address"": ""synthetic-address-7-1"", ""script_type"": ""p2wpkh""}]",500,202,262,808,2,0,True,3,900000,2026-08-31T01:06:00+00:00
d4b227993a95699eaf9f218652e9713b25cb503a838610837aeda51c97218bb4,2026-08-31T01:04:00+00:00,"[{""prev_txid"": ""08a2e6ace9a3f1094057c164b4b5b45d5e529f51f03a6cb610a91bfb811c5ae2"", ""prev_vout"": 1}]","[{""index"": 0, ""value_sats"": 3124999531, ""address"": ""synthetic-address-8-0"", ""script_type"": ""p2wpkh""}, {""index"": 1, ""value_sats"": 3124999531, ""address"": ""synthetic-address-8-1"", ""script_type"": ""p2wpkh""}]",500,202,262,808,2,0,True,3,900000,2026-08-31T01:14:00+00:00
21f7ef07ddcf7e6992a24cb78eb27998ab3cd13ae8ba956417f20b8c42bf9814,2026-08-31T01:12:00+00:00,"[{""prev_txid"": ""b9819d41f22ccff899b98afe8dcfc73f7cb13ac29524ad34f6777f3d85b409dc"", ""prev_vout"": 0}]","[{""index"": 0, ""value_sats"": 3124999532, ""address"": ""synthetic-address-9-0"", ""script_type"": ""p2wpkh""}, {""index"": 1, ""value_sats"": 3124999531, ""address"": ""synthetic-address-9-1"", ""script_type"": ""p2wpkh""}]",500,202,262,808,2,0,True,3,900000,2026-08-31T01:22:00+00:00
